case_id,event_id,activity
1,A,Register Application
1,C,Document Verification
1,B,Credit Check
1,D,Risk Assessment
1,E,Loan Approval
1,G,Notify Customer
1,H,Archive Case
2,A,Register Application
2,C,Document Verification
2,B,Credit Check
2,D,Risk Assessment
2,F,Loan Rejection
2,G,Notify Customer
2,H,Archive Case
3,A,Register Application
3,B,Credit Check
3,C,Document Verification
3,I,Manual Review
3,D,Risk Assessment
3,E,Loan Approval
3,G,Notify Customer
3,H,Archive Case
4,A,Register Application
4,C,Document Verification
4,B,Credit Check
4,D,Risk Assessment
4,F,Loan Rejection
4,G,Notify Customer
4,H,Archive Case
5,A,Register Application
5,B,Credit Check
5,C,Document Verification
5,I,Manual Review
5,D,Risk Assessment
5,E,Loan Approval
5,G,Notify Customer
5,H,Archive Case
6,A,Register Application
6,C,Document Verification
6,B,Credit Check
6,D,Risk Assessment
6,E,Loan Approval
6,G,Notify Customer
6,H,Archive Case
7,A,Register Application
7,B,Credit Check
7,C,Document Verification
7,I,Manual Review
7,D,Risk Assessment
7,F,Loan Rejection
7,G,Notify Customer
7,H,Archive Case
8,A,Register Application
8,C,Document Verification
8,B,Credit Check
8,D,Risk Assessment
8,E,Loan Approval
8,G,Notify Customer
8,H,Archive Case
9,A,Register Application
9,B,Credit Check
9,C,Document Verification
9,D,Risk Assessment
9,F,Loan Rejection
9,G,Notify Customer
9,H,Archive Case
10,A,Register Application
10,B,Credit Check
10,C,Document Verification
10,I,Manual Review
10,D,Risk Assessment
10,E,Loan Approval
10,G,Notify Customer
10,H,Archive Case
11,A,Register Application
11,B,Credit Check
11,C,Document Verification
11,D,Risk Assessment
11,F,Loan Rejection
11,G,Notify Customer
11,H,Archive Case
12,A,Register Application
12,C,Document Verification
12,B,Credit Check
12,D,Risk Assessment
12,F,Loan Rejection
12,G,Notify Customer
12,H,Archive Case
13,A,Register Application
13,C,Document Verification
13,B,Credit Check
13,D,Risk Assessment
13,E,Loan Approval
13,G,Notify Customer
13,H,Archive Case
14,A,Register Application
14,C,Document Verification
14,B,Credit Check
14,D,Risk Assessment
14,E,Loan Approval
14,G,Notify Customer
14,H,Archive Case
15,A,Register Application
15,C,Document Verification
15,B,Credit Check
15,D,Risk Assessment
15,E,Loan Approval
15,G,Notify Customer
15,H,Archive Case
16,A,Register Application
16,C,Document Verification
16,B,Credit Check
16,D,Risk Assessment
16,E,Loan Approval
16,G,Notify Customer
16,H,Archive Case
17,A,Register Application
17,C,Document Verification
17,B,Credit Check
17,D,Risk Assessment
17,F,Loan Rejection
17,G,Notify Customer
17,H,Archive Case
18,A,Register Application
18,C,Document Verification
18,B,Credit Check
18,D,Risk Assessment
18,F,Loan Rejection
18,G,Notify Customer
18,H,Archive Case
19,A,Register Application
19,C,Document Verification
19,B,Credit Check
19,I,Manual Review
19,D,Risk Assessment
19,F,Loan Rejection
19,G,Notify Customer
19,H,Archive Case
20,A,Register Application
20,B,Credit Check
20,C,Document Verification
20,I,Manual Review
20,D,Risk Assessment
20,E,Loan Approval
20,G,Notify Customer
20,H,Archive Case
21,A,Register Application
21,B,Credit Check
21,C,Document Verification
21,I,Manual Review
21,D,Risk Assessment
21,E,Loan Approval
21,G,Notify Customer
21,H,Archive Case
22,A,Register Application
22,B,Credit Check
22,C,Document Verification
22,D,Risk Assessment
22,E,Loan Approval
22,G,Notify Customer
22,H,Archive Case
23,A,Register Application
23,B,Credit Check
23,C,Document Verification
23,I,Manual Review
23,D,Risk Assessment
23,F,Loan Rejection
23,G,Notify Customer
23,H,Archive Case
24,A,Register Application
24,C,Document Verification
24,B,Credit Check
24,D,Risk Assessment
24,F,Loan Rejection
24,G,Notify Customer
24,H,Archive Case
25,A,Register Application
25,C,Document Verification
25,B,Credit Check
25,D,Risk Assessment
25,E,Loan Approval
25,G,Notify Customer
25,H,Archive Case
26,A,Register Application
26,B,Credit Check
26,C,Document Verification
26,D,Risk Assessment
26,E,Loan Approval
26,G,Notify Customer
26,H,Archive Case
27,A,Register Application
27,C,Document Verification
27,B,Credit Check
27,D,Risk Assessment
27,E,Loan Approval
27,G,Notify Customer
27,H,Archive Case
28,A,Register Application
28,B,Credit Check
28,C,Document Verification
28,D,Risk Assessment
28,E,Loan Approval
28,G,Notify Customer
28,H,Archive Case
29,A,Register Application
29,C,Document Verification
29,B,Credit Check
29,D,Risk Assessment
29,F,Loan Rejection
29,G,Notify Customer
29,H,Archive Case
30,A,Register Application
30,B,Credit Check
30,C,Document Verification
30,D,Risk Assessment
30,F,Loan Rejection
30,G,Notify Customer
30,H,Archive Case
31,A,Register Application
31,C,Document Verification
31,B,Credit Check
31,D,Risk Assessment
31,E,Loan Approval
31,G,Notify Customer
31,H,Archive Case
32,A,Register Application
32,C,Document Verification
32,B,Credit Check
32,I,Manual Review
32,D,Risk Assessment
32,F,Loan Rejection
32,G,Notify Customer
32,H,Archive Case
33,A,Register Application
33,C,Document Verification
33,B,Credit Check
33,D,Risk Assessment
33,E,Loan Approval
33,G,Notify Customer
33,H,Archive Case
34,A,Register Application
34,B,Credit Check
34,C,Document Verification
34,D,Risk Assessment
34,F,Loan Rejection
34,G,Notify Customer
34,H,Archive Case
35,A,Register Application
35,C,Document Verification
35,B,Credit Check
35,I,Manual Review
35,D,Risk Assessment
35,E,Loan Approval
35,G,Notify Customer
35,H,Archive Case
36,A,Register Application
36,B,Credit Check
36,C,Document Verification
36,D,Risk Assessment
36,F,Loan Rejection
36,G,Notify Customer
36,H,Archive Case
37,A,Register Application
37,C,Document Verification
37,B,Credit Check
37,I,Manual Review
37,D,Risk Assessment
37,E,Loan Approval
37,G,Notify Customer
37,H,Archive Case
38,A,Register Application
38,B,Credit Check
38,C,Document Verification
38,D,Risk Assessment
38,E,Loan Approval
38,G,Notify Customer
38,H,Archive Case
39,A,Register Application
39,C,Document Verification
39,B,Credit Check
39,D,Risk Assessment
39,E,Loan Approval
39,G,Notify Customer
39,H,Archive Case
40,A,Register Application
40,B,Credit Check
40,C,Document Verification
40,D,Risk Assessment
40,E,Loan Approval
40,G,Notify Customer
40,H,Archive Case
41,A,Register Application
41,C,Document Verification
41,B,Credit Check
41,I,Manual Review
41,D,Risk Assessment
41,E,Loan Approval
41,G,Notify Customer
41,H,Archive Case
42,A,Register Application
42,C,Document Verification
42,B,Credit Check
42,I,Manual Review
42,D,Risk Assessment
42,F,Loan Rejection
42,G,Notify Customer
42,H,Archive Case
43,A,Register Application
43,C,Document Verification
43,B,Credit Check
43,D,Risk Assessment
43,F,Loan Rejection
43,G,Notify Customer
43,H,Archive Case
44,A,Register Application
44,C,Document Verification
44,B,Credit Check
44,I,Manual Review
44,D,Risk Assessment
44,E,Loan Approval
44,G,Notify Customer
44,H,Archive Case
45,A,Register Application
45,B,Credit Check
45,C,Document Verification
45,I,Manual Review
45,D,Risk Assessment
45,E,Loan Approval
45,G,Notify Customer
45,H,Archive Case
46,A,Register Application
46,C,Document Verification
46,B,Credit Check
46,I,Manual Review
46,D,Risk Assessment
46,E,Loan Approval
46,G,Notify Customer
46,H,Archive Case
47,A,Register Application
47,B,Credit Check
47,C,Document Verification
47,D,Risk Assessment
47,E,Loan Approval
47,G,Notify Customer
47,H,Archive Case
48,A,Register Application
48,C,Document Verification
48,B,Credit Check
48,I,Manual Review
48,D,Risk Assessment
48,F,Loan Rejection
48,G,Notify Customer
48,H,Archive Case
49,A,Register Application
49,C,Document Verification
49,B,Credit Check
49,I,Manual Review
49,D,Risk Assessment
49,E,Loan Approval
49,G,Notify Customer
49,H,Archive Case
50,A,Register Application
50,B,Credit Check
50,C,Document Verification
50,I,Manual Review
50,D,Risk Assessment
50,E,Loan Approval
50,G,Notify Customer
50,H,Archive Case
51,A,Register Application
51,C,Document Verification
51,B,Credit Check
51,D,Risk Assessment
51,F,Loan Rejection
51,G,Notify Customer
51,H,Archive Case
52,A,Register Application
52,C,Document Verification
52,B,Credit Check
52,D,Risk Assessment
52,E,Loan Approval
52,G,Notify Customer
52,H,Archive Case
53,A,Register Application
53,C,Document Verification
53,B,Credit Check
53,D,Risk Assessment
53,F,Loan Rejection
53,G,Notify Customer
53,H,Archive Case
54,A,Register Application
54,B,Credit Check
54,C,Document Verification
54,D,Risk Assessment
54,F,Loan Rejection
54,G,Notify Customer
54,H,Archive Case
55,A,Register Application
55,C,Document Verification
55,B,Credit Check
55,D,Risk Assessment
55,F,Loan Rejection
55,G,Notify Customer
55,H,Archive Case
56,A,Register Application
56,B,Credit Check
56,C,Document Verification
56,I,Manual Review
56,D,Risk Assessment
56,E,Loan Approval
56,G,Notify Customer
56,H,Archive Case
57,A,Register Application
57,B,Credit Check
57,C,Document Verification
57,I,Manual Review
57,D,Risk Assessment
57,E,Loan Approval
57,G,Notify Customer
57,H,Archive Case
58,A,Register Application
58,C,Document Verification
58,B,Credit Check
58,D,Risk Assessment
58,E,Loan Approval
58,G,Notify Customer
58,H,Archive Case
59,A,Register Application
59,C,Document Verification
59,B,Credit Check
59,I,Manual Review
59,D,Risk Assessment
59,E,Loan Approval
59,G,Notify Customer
59,H,Archive Case
60,A,Register Application
60,C,Document Verification
60,B,Credit Check
60,D,Risk Assessment
60,E,Loan Approval
60,G,Notify Customer
60,H,Archive Case
61,A,Register Application
61,C,Document Verification
61,B,Credit Check
61,D,Risk Assessment
61,E,Loan Approval
61,G,Notify Customer
61,H,Archive Case
62,A,Register Application
62,C,Document Verification
62,B,Credit Check
62,D,Risk Assessment
62,E,Loan Approval
62,G,Notify Customer
62,H,Archive Case
63,A,Register Application
63,B,Credit Check
63,C,Document Verification
63,D,Risk Assessment
63,E,Loan Approval
63,G,Notify Customer
63,H,Archive Case
64,A,Register Application
64,C,Document Verification
64,B,Credit Check
64,I,Manual Review
64,D,Risk Assessment
