case_id,event_id,activity
1,A,Register Application
1,B,Credit Check
1,B,Credit Check
1,C,Document Verification
1,D,Risk Assessment
1,D,Risk Assessment
1,F,Loan Rejection
1,G,Notify Customer
1,H,Archive Case
2,A,Register Application
2,B,Credit Check
2,C,Document Verification
2,B,Credit Check
2,C,Document Verification
2,D,Risk Assessment
2,D,Risk Assessment
2,E,Loan Approval
2,H,Archive Case
3,A,Register Application
3,B,Credit Check
3,C,Document Verification
3,B,Credit Check
3,D,Risk Assessment
3,D,Risk Assessment
3,E,Loan Approval
3,G,Notify Customer
3,H,Archive Case
4,A,Register Application
4,B,Credit Check
4,C,Document Verification
4,I,Manual Review
4,B,Credit Check
4,C,Document Verification
4,D,Risk Assessment
4,D,Risk Assessment
4,E,Loan Approval
4,G,Notify Customer
4,H,Archive Case
5,A,Register Application
5,B,Credit Check
5,C,Document Verification
5,B,Credit Check
5,C,Document Verification
5,D,Risk Assessment
5,D,Risk Assessment
5,E,Loan Approval
5,G,Notify Customer
5,H,Archive Case
6,A,Register Application
6,C,Document Verification
6,B,Credit Check
6,B,Credit Check
6,D,Risk Assessment
6,D,Risk Assessment
6,F,Loan Rejection
6,G,Notify Customer
6,H,Archive Case
7,A,Register Application
7,B,Credit Check
7,C,Document Verification
7,B,Credit Check
7,C,Document Verification
7,D,Risk Assessment
7,D,Risk Assessment
7,F,Loan Rejection
7,G,Notify Customer
7,H,Archive Case
8,A,Register Application
8,B,Credit Check
8,C,Document Verification
8,B,Credit Check
8,C,Document Verification
8,D,Risk Assessment
8,D,Risk Assessment
8,F,Loan Rejection
8,G,Notify Customer
8,H,Archive Case
9,A,Register Application
9,B,Credit Check
9,C,Document Verification
9,B,Credit Check
9,C,Document Verification
9,D,Risk Assessment
9,D,Risk Assessment
9,E,Loan Approval
9,G,Notify Customer
9,H,Archive Case
10,A,Register Application
10,B,Credit Check
10,C,Document Verification
10,I,Manual Review
10,B,Credit Check
10,C,Document Verification
10,D,Risk Assessment
10,D,Risk Assessment
10,F,Loan Rejection
10,G,Notify Customer
10,H,Archive Case
11,A,Register Application
11,C,Document Verification
11,B,Credit Check
11,B,Credit Check
11,C,Document Verification
11,D,Risk Assessment
11,D,Risk Assessment
11,E,Loan Approval
11,G,Notify Customer
11,H,Archive Case
12,A,Register Application
12,C,Document Verification
12,B,Credit Check
12,I,Manual Review
12,B,Credit Check
12,C,Document Verification
12,D,Risk Assessment
12,D,Risk Assessment
12,E,Loan Approval
12,G,Notify Customer
12,H,Archive Case
13,A,Register Application
13,B,Credit Check
13,C,Document Verification
13,B,Credit Check
13,C,Document Verification
13,D,Risk Assessment
13,D,Risk Assessment
13,E,Loan Approval
13,G,Notify Customer
13,H,Archive Case
14,A,Register Application
14,B,Credit Check
14,C,Document Verification
14,I,Manual Review
14,B,Credit Check
14,C,Document Verification
14,D,Risk Assessment
14,D,Risk Assessment
14,E,Loan Approval
14,G,Notify Customer
14,H,Archive Case
15,A,Register Application
15,B,Credit Check
15,C,Document Verification
15,B,Credit Check
15,C,Document Verification
15,D,Risk Assessment
15,D,Risk Assessment
15,E,Loan Approval
15,G,Notify Customer
15,H,Archive Case
16,A,Register Application
16,C,Document Verification
16,B,Credit Check
16,I,Manual Review
16,B,Credit Check
16,C,Document Verification
16,D,Risk Assessment
16,D,Risk Assessment
16,E,Loan Approval
16,G,Notify Customer
16,H,Archive Case
17,A,Register Application
17,B,Credit Check
17,C,Document Verification
17,B,Credit Check
17,C,Document Verification
17,D,Risk Assessment
17,D,Risk Assessment
17,E,Loan Approval
17,G,Notify Customer
17,H,Archive Case
18,A,Register Application
18,C,Document Verification
18,NOISE_ERR,NOISE_ERR
18,B,Credit Check
18,B,Credit Check
18,C,Document Verification
18,D,Risk Assessment
18,D,Risk Assessment
18,G,Notify Customer
18,H,Archive Case
19,A,Register Application
19,C,Document Verification
19,B,Credit Check
19,B,Credit Check
19,C,Document Verification
19,D,Risk Assessment
19,D,Risk Assessment
19,F,Loan Rejection
19,G,Notify Customer
19,H,Archive Case
20,A,Register Application
20,B,Credit Check
20,B,Credit Check
20,C,Document Verification
20,D,Risk Assessment
20,D,Risk Assessment
20,E,Loan Approval
20,G,Notify Customer
20,H,Archive Case
21,A,Register Application
21,B,Credit Check
21,C,Document Verification
21,B,Credit Check
21,C,Document Verification
21,D,Risk Assessment
21,D,Risk Assessment
21,E,Loan Approval
21,G,Notify Customer
21,H,Archive Case
22,A,Register Application
22,C,Document Verification
22,B,Credit Check
22,I,Manual Review
22,B,Credit Check
22,C,Document Verification
22,D,Risk Assessment
22,D,Risk Assessment
22,E,Loan Approval
22,G,Notify Customer
22,H,Archive Case
23,A,Register Application
23,B,Credit Check
23,C,Document Verification
23,B,Credit Check
23,C,Document Verification
23,D,Risk Assessment
23,D,Risk Assessment
23,E,Loan Approval
23,G,Notify Customer
23,H,Archive Case
24,A,Register Application
24,B,Credit Check
24,C,Document Verification
24,B,Credit Check
24,C,Document Verification
24,D,Risk Assessment
24,D,Risk Assessment
24,E,Loan Approval
24,G,Notify Customer
24,H,Archive Case
25,A,Register Application
25,C,Document Verification
25,B,Credit Check
25,I,Manual Review
25,B,Credit Check
25,C,Document Verification
25,D,Risk Assessment
25,D,Risk Assessment
25,E,Loan Approval
25,G,Notify Customer
25,H,Archive Case
26,A,Register Application
26,B,Credit Check
26,C,Document Verification
26,B,Credit Check
26,C,Document Verification
26,D,Risk Assessment
26,D,Risk Assessment
26,F,Loan Rejection
26,G,Notify Customer
26,H,Archive Case
27,A,Register Application
27,B,Credit Check
27,C,Document Verification
27,I,Manual Review
27,B,Credit Check
27,C,Document Verification
27,D,Risk Assessment
27,D,Risk Assessment
27,E,Loan Approval
27,G,Notify Customer
27,H,Archive Case
28,A,Register Application
28,C,Document Verification
28,B,Credit Check
28,B,Credit Check
28,C,Document Verification
28,D,Risk Assessment
28,D,Risk Assessment
28,F,Loan Rejection
28,H,Archive Case
29,A,Register Application
29,C,Document Verification
29,B,Credit Check
29,B,Credit Check
29,C,Document Verification
29,D,Risk Assessment
29,D,Risk Assessment
29,E,Loan Approval
29,G,Notify Customer
29,H,Archive Case
30,A,Register Application
30,G,Notify Customer
30,H,Archive Case
31,A,Register Application
31,B,Credit Check
31,C,Document Verification
31,B,Credit Check
31,C,Document Verification
31,D,Risk Assessment
31,D,Risk Assessment
31,E,Loan Approval
31,G,Notify Customer
31,H,Archive Case
32,A,Register Application
32,G,Notify Customer
32,H,Archive Case
33,A,Register Application
33,C,Document Verification
33,B,Credit Check
33,I,Manual Review
33,B,Credit Check
33,C,Document Verification
33,D,Risk Assessment
33,D,Risk Assessment
33,F,Loan Rejection
33,G,Notify Customer
33,H,Archive Case
34,A,Register Application
34,I,Manual Review
34,B,Credit Check
34,C,Document Verification
34,D,Risk Assessment
34,D,Risk Assessment
34,F,Loan Rejection
34,G,Notify Customer
34,H,Archive Case
35,A,Register Application
35,G,Notify Customer
35,NOISE_01,NOISE_01
35,NOISE_01,NOISE_01
35,H,Archive Case
36,A,Register Application
36,B,Credit Check
36,C,Document Verification
36,B,Credit Check
36,C,Document Verification
36,D,Risk Assessment
36,D,Risk Assessment
36,E,Loan Approval
36,G,Notify Customer
36,H,Archive Case
37,A,Register Application
37,C,Document Verification
37,B,Credit Check
37,I,Manual Review
37,B,Credit Check
37,C,Document Verification
37,D,Risk Assessment
37,D,Risk Assessment
37,E,Loan Approval
37,G,Notify Customer
37,H,Archive Case
