case_id,event_id,activity
1,A,Register Application
1,C,Document Verification
1,B,Credit Check
1,B,Credit Check
1,C,Document Verification
1,B,Credit Check
1,C,Document Verification
1,D,Risk Assessment
1,B,Credit Check
1,C,Document Verification
1,D,Risk Assessment
1,D,Risk Assessment
1,E,Loan Approval
1,G,Notify Customer
1,H,Archive Case
2,A,Register Application
2,B,Credit Check
2,C,Document Verification
2,B,Credit Check
2,C,Document Verification
2,D,Risk Assessment
2,B,Credit Check
2,D,Risk Assessment
2,B,Credit Check
2,C,Document Verification
2,D,Risk Assessment
2,D,Risk Assessment
2,G,Notify Customer
2,H,Archive Case
3,A,Register Application
3,B,Credit Check
3,C,Document Verification
3,I,Manual Review
3,C,Document Verification
3,B,Credit Check
3,D,Risk Assessment
3,B,Credit Check
3,C,Document Verification
3,D,Risk Assessment
3,D,Risk Assessment
3,F,Loan Rejection
3,G,Notify Customer
3,H,Archive Case
4,A,Register Application
4,B,Credit Check
4,C,Document Verification
4,I,Manual Review
4,D,Risk Assessment
4,B,Credit Check
4,C,Document Verification
4,D,Risk Assessment
4,B,Credit Check
4,C,Document Verification
4,D,Risk Assessment
4,D,Risk Assessment
4,E,Loan Approval
4,G,Notify Customer
4,H,Archive Case
5,A,Register Application
5,C,Document Verification
5,B,Credit Check
5,C,Document Verification
5,D,Risk Assessment
5,B,Credit Check
5,C,Document Verification
5,D,Risk Assessment
5,B,Credit Check
5,C,Document Verification
5,D,Risk Assessment
5,D,Risk Assessment
5,F,Loan Rejection
5,G,Notify Customer
5,H,Archive Case
6,A,Register Application
6,B,Credit Check
6,B,Credit Check
6,C,Document Verification
6,D,Risk Assessment
6,B,Credit Check
6,C,Document Verification
6,D,Risk Assessment
6,D,Risk Assessment
6,E,Loan Approval
6,H,Archive Case
7,A,Register Application
7,B,Credit Check
7,C,Document Verification
7,D,Risk Assessment
7,B,Credit Check
7,B,Credit Check
7,C,Document Verification
7,D,Risk Assessment
7,NOISE_SYS,NOISE_SYS
7,B,Credit Check
7,C,Document Verification
7,D,Risk Assessment
7,D,Risk Assessment
7,E,Loan Approval
7,G,Notify Customer
7,H,Archive Case
8,A,Register Application
8,B,Credit Check
8,C,Document Verification
8,B,Credit Check
8,C,Document Verification
8,D,Risk Assessment
8,C,Document Verification
8,NOISE_02,NOISE_02
8,NOISE_02,NOISE_02
8,B,Credit Check
8,C,Document Verification
8,D,Risk Assessment
8,D,Risk Assessment
8,E,Loan Approval
8,G,Notify Customer
8,H,Archive Case
9,A,Register Application
9,B,Credit Check
9,B,Credit Check
9,D,Risk Assessment
9,B,Credit Check
9,C,Document Verification
9,NOISE_01,NOISE_01
9,D,Risk Assessment
9,B,Credit Check
9,C,Document Verification
9,D,Risk Assessment
9,D,Risk Assessment
9,NOISE_03,NOISE_03
9,H,Archive Case
9,F,Loan Rejection
9,G,Notify Customer
10,A,Register Application
10,B,Credit Check
10,C,Document Verification
10,I,Manual Review
10,B,Credit Check
10,C,Document Verification
10,B,Credit Check
10,C,Document Verification
10,D,Risk Assessment
10,B,Credit Check
10,C,Document Verification
10,D,Risk Assessment
10,D,Risk Assessment
10,F,Loan Rejection
10,G,Notify Customer
10,H,Archive Case
11,A,Register Application
11,B,Credit Check
11,C,Document Verification
11,B,Credit Check
11,C,Document Verification
11,C,Document Verification
11,D,Risk Assessment
11,B,Credit Check
11,D,Risk Assessment
11,D,Risk Assessment
11,E,Loan Approval
11,H,Archive Case
12,NOISE_01,NOISE_01
12,A,Register Application
12,C,Document Verification
12,B,Credit Check
12,B,Credit Check
12,C,Document Verification
12,D,Risk Assessment
12,B,Credit Check
12,C,Document Verification
12,D,Risk Assessment
12,C,Document Verification
12,D,Risk Assessment
12,E,Loan Approval
12,G,Notify Customer
12,H,Archive Case
13,A,Register Application
13,C,Document Verification
13,B,Credit Check
13,C,Document Verification
13,D,Risk Assessment
13,C,Document Verification
13,D,Risk Assessment
13,C,Document Verification
13,D,Risk Assessment
13,D,Risk Assessment
13,E,Loan Approval
13,G,Notify Customer
13,H,Archive Case
14,A,Register Application
14,G,Notify Customer
14,H,Archive Case
15,A,Register Application
15,C,Document Verification
15,NOISE_01,NOISE_01
15,I,Manual Review
15,B,Credit Check
15,C,Document Verification
15,B,Credit Check
15,D,Risk Assessment
15,C,Document Verification
15,B,Credit Check
15,C,Document Verification
15,D,Risk Assessment
15,D,Risk Assessment
15,E,Loan Approval
15,G,Notify Customer
15,NOISE_02,NOISE_02
15,H,Archive Case
16,A,Register Application
16,C,Document Verification
16,B,Credit Check
16,I,Manual Review
16,C,Document Verification
16,D,Risk Assessment
16,B,Credit Check
16,C,Document Verification
16,NOISE_02,NOISE_02
16,D,Risk Assessment
16,C,Document Verification
16,D,Risk Assessment
16,D,Risk Assessment
16,E,Loan Approval
16,H,Archive Case
17,A,Register Application
17,B,Credit Check
17,C,Document Verification
17,C,Document Verification
17,D,Risk Assessment
17,B,Credit Check
17,C,Document Verification
17,D,Risk Assessment
17,D,Risk Assessment
17,E,Loan Approval
17,G,Notify Customer
17,H,Archive Case
18,A,Register Application
18,B,Credit Check
18,C,Document Verification
18,B,Credit Check
18,C,Document Verification
18,D,Risk Assessment
18,B,Credit Check
18,C,Document Verification
18,D,Risk Assessment
18,E,Loan Approval
18,H,Archive Case
19,A,Register Application
19,B,Credit Check
19,C,Document Verification
19,I,Manual Review
19,B,Credit Check
19,C,Document Verification
19,C,Document Verification
19,C,Document Verification
19,D,Risk Assessment
19,D,Risk Assessment
19,E,Loan Approval
19,G,Notify Customer
19,H,Archive Case
20,A,Register Application
20,C,Document Verification
20,B,Credit Check
20,B,Credit Check
20,D,Risk Assessment
20,B,Credit Check
20,C,Document Verification
20,D,Risk Assessment
20,B,Credit Check
20,C,Document Verification
20,E,Loan Approval
20,G,Notify Customer
20,H,Archive Case
21,A,Register Application
21,B,Credit Check
21,C,Document Verification
21,B,Credit Check
21,C,Document Verification
21,D,Risk Assessment
21,B,Credit Check
21,C,Document Verification
21,D,Risk Assessment
21,B,Credit Check
21,D,Risk Assessment
21,D,Risk Assessment
21,H,Archive Case
22,A,Register Application
22,B,Credit Check
22,C,Document Verification
22,I,Manual Review
22,C,Document Verification
22,D,Risk Assessment
22,B,Credit Check
22,C,Document Verification
22,D,Risk Assessment
22,C,Document Verification
22,D,Risk Assessment
22,D,Risk Assessment
22,E,Loan Approval
22,G,Notify Customer
22,H,Archive Case
23,A,Register Application
23,B,Credit Check
23,C,Document Verification
23,B,Credit Check
23,C,Document Verification
23,D,Risk Assessment
23,B,Credit Check
23,C,Document Verification
23,D,Risk Assessment
23,B,Credit Check
23,C,Document Verification
23,D,Risk Assessment
23,F,Loan Rejection
23,G,Notify Customer
23,H,Archive Case
24,A,Register Application
24,C,Document Verification
24,B,Credit Check
24,D,Risk Assessment
24,B,Credit Check
24,C,Document Verification
24,D,Risk Assessment
24,B,Credit Check
24,C,Document Verification
24,D,Risk Assessment
24,D,Risk Assessment
24,E,Loan Approval
24,G,Notify Customer
24,H,Archive Case
25,A,Register Application
25,B,Credit Check
25,C,Document Verification
25,C,Document Verification
25,B,Credit Check
25,D,Risk Assessment
25,C,Document Verification
25,D,Risk Assessment
25,NOISE_03,NOISE_03
25,B,Credit Check
25,C,Document Verification
25,D,Risk Assessment
25,E,Loan Approval
25,NOISE_SYS,NOISE_SYS
25,G,Notify Customer
25,H,Archive Case
26,A,Register Application
26,G,Notify Customer
26,H,Archive Case
27,A,Register Application
27,C,Document Verification
27,B,Credit Check
27,C,Document Verification
27,D,Risk Assessment
27,B,Credit Check
27,C,Document Verification
27,D,Risk Assessment
27,B,Credit Check
27,C,Document Verification
27,D,Risk Assessment
27,D,Risk Assessment
27,E,Loan Approval
27,G,Notify Customer
27,H,Archive Case
28,A,Register Application
28,I,Manual Review
28,B,Credit Check
28,C,Document Verification
28,D,Risk Assessment
28,B,Credit Check
28,C,Document Verification
28,D,Risk Assessment
28,B,Credit Check
28,D,Risk Assessment
28,D,Risk Assessment
28,E,Loan Approval
28,H,Archive Case
29,A,Register Application
29,NOISE_SYS,NOISE_SYS
29,C,Document Verification
29,C,Document Verification
29,B,Credit Check
29,D,Risk Assessment
29,B,Credit Check
29,C,Document Verification
29,C,Document Verification
29,D,Risk Assessment
29,D,Risk Assessment
29,NOISE_SYS,NOISE_SYS
29,D,Risk Assessment
29,E,Loan Approval
29,G,Notify Customer
29,H,Archive Case
30,A,Register Application
30,G,Notify Customer
30,H,Archive Case
31,A,Register Application
31,B,Credit Check
31,C,Document Verification
31,B,Credit Check
31,C,Document Verification
31,D,Risk Assessment
31,C,Document Verification
31,B,Credit Check
31,C,Document Verification
31,D,Risk Assessment
31,D,Risk Assessment
31,E,Loan Approval
31,G,Notify Customer
31,H,Archive Case
32,A,Register Application
32,B,Credit Check
32,C,Document Verification
32,I,Manual Review
32,B,Credit Check
32,C,Document Verification
32,D,Risk Assessment
32,B,Credit Check
32,C,Document Verification
32,D,Risk Assessment
32,B,Credit Check
32,C,Document Verification
32,D,Risk Assessment
32,G,Notify Customer
32,H,Archive Case
33,NOISE_ERR,NOISE_ERR
33,A,Register Application
33,G,Notify Customer
33,NOISE_02,NOISE_02
33,H,Archive Case
34,A,Register Application
34,B,Credit Check
34,C,Document Verification
34,D,Risk Assessment
34,B,Credit Check
34,D,Risk Assessment
34,B,Credit Check
34,C,Document Verification
34,D,Risk Assessment
34,E,Loan Approval
34,G,Notify Customer
34,H,Archive Case
35,A,Register Application
35,C,Document Verification
35,B,Credit Check
35,B,Credit Check
35,B,Credit Check
35,C,Document Verification
35,D,Risk Assessment
35,F,Loan Rejection
35,D,Risk Assessment
35,B,Credit Check
35,G,Notify Customer
35,NOISE_03,NOISE_03
35,H,Archive Case
36,A,Register Application
