case_id,event_id,activity
1,a,Receive Order
1,b,Check Stock
1,c,Ship Goods
1,e,Send Invoice
1,f,Receive Payment
1,g,Archive Order
2,a,Receive Order
2,b,Check Stock
2,c,Ship Goods
2,e,Send Invoice
2,f,Receive Payment
2,g,Archive Order
3,a,Receive Order
3,b,Check Stock
3,c,Ship Goods
3,e,Send Invoice
3,f,Receive Payment
3,g,Archive Order
4,a,Receive Order
4,b,Check Stock
4,c,Ship Goods
4,e,Send Invoice
4,f,Receive Payment
4,g,Archive Order
5,a,Receive Order
5,b,Check Stock
5,d,Reorder Stock
5,e,Send Invoice
5,f,Receive Payment
5,g,Archive Order
6,a,Receive Order
6,b,Check Stock
6,c,Ship Goods
6,e,Send Invoice
6,f,Receive Payment
6,g,Archive Order
7,a,Receive Order
7,b,Check Stock
7,c,Ship Goods
7,e,Send Invoice
7,f,Receive Payment
7,g,Archive Order
8,a,Receive Order
8,b,Check Stock
8,c,Ship Goods
8,e,Send Invoice
8,f,Receive Payment
8,g,Archive Order
9,a,Receive Order
9,b,Check Stock
9,c,Ship Goods
9,e,Send Invoice
9,f,Receive Payment
9,g,Archive Order
10,a,Receive Order
10,b,Check Stock
10,d,Reorder Stock
10,e,Send Invoice
10,f,Receive Payment
10,g,Archive Order
11,a,Receive Order
11,b,Check Stock
11,c,Ship Goods
11,e,Send Invoice
11,f,Receive Payment
11,g,Archive Order
12,a,Receive Order
12,b,Check Stock
12,c,Ship Goods
12,e,Send Invoice
12,f,Receive Payment
12,g,Archive Order
13,a,Receive Order
13,b,Check Stock
13,c,Ship Goods
13,e,Send Invoice
13,f,Receive Payment
13,g,Archive Order
14,a,Receive Order
14,b,Check Stock
14,c,Ship Goods
14,e,Send Invoice
14,f,Receive Payment
14,g,Archive Order
15,a,Receive Order
15,b,Check Stock
15,d,Reorder Stock
15,e,Send Invoice
15,f,Receive Payment
15,g,Archive Order
16,a,Receive Order
16,b,Check Stock
16,c,Ship Goods
16,e,Send Invoice
16,f,Receive Payment
16,g,Archive Order
17,a,Receive Order
17,b,Check Stock
17,c,Ship Goods
17,e,Send Invoice
17,f,Receive Payment
17,g,Archive Order
18,a,Receive Order
18,b,Check Stock
18,c,Ship Goods
18,e,Send Invoice
18,f,Receive Payment
18,g,Archive Order
19,a,Receive Order
19,b,Check Stock
19,c,Ship Goods
19,e,Send Invoice
19,f,Receive Payment
19,g,Archive Order
20,a,Receive Order
20,b,Check Stock
20,c,Ship Goods
20,e,Send Invoice
20,f,Receive Payment
20,g,Archive Order
21,a,Receive Order
21,b,Check Stock
21,d,Reorder Stock
21,e,Send Invoice
21,f,Receive Payment
21,g,Archive Order
22,a,Receive Order
22,b,Check Stock
22,c,Ship Goods
22,e,Send Invoice
22,f,Receive Payment
22,g,Archive Order
23,a,Receive Order
23,b,Check Stock
